uuid,order,type,set,aspect,aspect_ro,area,area_ro,value,value_ro,published
befafa6d-ba54-42e3-ad23-383dd6e8e50c,1,roof,chimney_type,Chimney Type,Tip coș de fum,,,Interior,Interior,true
f897ff39-9545-434f-9aa9-8b886fefbac1,2,roof,chimney_type,Chimney Type,Tip coș de fum,,,Exterior,Exterior,true
f8dfff19-c46c-4efb-b5bc-1630d6e7cb8d,3,roof,chimney_material,Chimney,Coș de fum,,,Brick,Cărămidă,true
d2f702f4-8b7f-42a7-9398-beda66e50a75,4,roof,chimney_material,Chimney,Coș de fum,,,Concrete,Beton,true
411323ef-2a68-408c-8510-35fa8107e0ec,5,roof,chimney_material,Chimney,Coș de fum,,,Concrete block,,false
fa2fcc4d-2dac-470c-8f22-343cc7830be8,6,roof,chimney_material,Chimney,Coș de fum,,,Exterior,,false
d4cd5689-a6cf-439e-b353-d568389d558b,7,roof,chimney_material,Chimney,Coș de fum,,,Interior,,false
472070d2-eb37-4db3-ad6d-7c694550095f,8,roof,chimney_material,Chimney,Coș de fum,,,Pipe,Țeavă,true
f3ce27d7-ba20-42b2-a1c0-30200c11684f,9,roof,chimney_material,Chimney,Coș de fum,,,Stone,Piatră,true
5a44c527-47a0-49d5-af03-a798a495285c,10,roof,chimney_material,Chimney,Coș de fum,,,Stucco,Stucatură,false
c290c6d5-f6bc-4285-8cb3-7d425eb45207,11,roof,chimney_material,Chimney,Coș de fum,,,Other,Altele,true
6cd9aa32-488f-41b6-b515-6e926e4f0a8c,12,roof,chimney_material,Chimney,Coș de fum,,,Wood,Lemn,false
53baecdc-c468-40bd-bcac-d8004adcc76f,13,roof,type,Type,Formă,,,A-frame,În două ape,true
9c8c15b2-c820-476c-bb09-64cd19f88d21,14,roof,type,Type,Formă,,,Roof Parapet,Atic,false
fee9adb9-6efa-47a1-8e73-30cc5a21fa9a,15,roof,type,Type,Formă,,,Dome,Cupolă,true
ba99f871-277f-4f3f-aece-e2edc3a6a397,16,roof,type,Type,Formă,,,Brackets,,false
e6a20a21-3a87-4d52-988d-b40386be1513,17,roof,type,Type,Formă,,,Butterfly,,false
948b7ee0-22ac-4f0d-9475-4aa126c0bc7d,18,roof,type,Type,Formă,,,Clay tile coping,,false
092b1f47-67cf-453d-86fe-6b1a2b728e26,19,roof,type,Type,Formă,,,Flat,În terasă,true
c107ec01-92ac-4266-9534-1d62a967bfef,20,roof,type,Type,Formă,,,Shed,Într-o apă,true
db4a19b8-b37f-4a77-b833-ddfe6e6a171d,21,roof,type,Type,Formă,,,Combination (complex),Cu formă compusă,true
3a2c85b9-87a8-432f-87d6-d1d57dbb2647,22,roof,type,Type,Formă,,,Gambrel,Cu pantă frântă,true
33713c4c-cdc8-4dee-a53d-43008c83c8e3,23,roof,type,Type,Formă,,,Hipped,În mai multe ape,true
7295052d-034d-4e57-bc8a-83553b1b109a,24,roof,type,Type,Formă,,,"Hipped, pyramidal",În patru ape,true
ad32bc78-a2b1-4429-9e00-c36b6233f84c,25,roof,type,Type,Formă,,,Complex,,false
13d0869a-ac52-449c-b687-8bee769d26e7,26,roof,type,Type,Formă,,,Mansard,Cu mansardă,true
f0095d9b-4440-4e39-870b-e5dd7b5509c4,27,roof,cladding_material,Cladding,Finisaj,,,Ceramic Tile Roof (glazed/unglazed),Învelitoare ceramică (glazurată/neglazurată),true
69eb05fc-0fe2-4c26-863a-4451b529e09f,28,roof,cladding_material,Cladding,Finisaj,,,Metallic Roof,Învelitoare metalică,true
4d828f45-1b01-418c-9723-a0d04afbe787,29,roof,cladding_material,Cladding,Finisaj,,,Asbestos Roof,Învelitoare din azbociment(eternit),true
fb8fc59b-dfd0-44c2-a2b3-af3acc8782f4,30,roof,cladding_material,Cladding,Finisaj,,,Bituminous cardboard Roof,Învelitoare din carton bituminat,true
45bd0837-6022-47bc-80a0-62b008d29a74,31,roof,cladding_material,Cladding,Finisaj,,,Stone Tile Roof,Învelitoare din ardezie,true
