ext_id,current_name,former_name,type,document,district,guide_area,year_1956,year_1946,year_1940,year_1936,uuid
246,1 Decembrie,1 Decembrie,str.,,"P-Ţa Crucii,Stad,Pl.Ind.Buz","D6,D7, E6,F6",Muhle Wilhelm,Muhle Wilhelm,1 Decembrie,Muhle Wilhelm,9ee937fd-17d5-4014-9f59-dca97a9b4e19
928,16 Decembrie 1989,Martie Şase,bv.,DECIZIA260/1990,"Iosefin, Elisabet,Odobescu","B6,B7,C5,C",Şase Martie,Şase Martie,,Şase Martie,2649aa7c-35b1-4cf5-9d6f-2fd5cb044056
734,20 Decembrie 1989,Săvineşti,str.,HCJ 23/1993,Cetate,"D4, D5",Wilson,,,Wilson,6aa130d9-5bbe-4ee4-8f3d-2e33e674a58e
929,3 August 1919,Aprilie 12 1961,bv.,DEC.505/1990,Fabric,"E4, F3, F4",3 August 1919,3 August 1919,,3 August 1919,951e170c-225c-4a97-994c-4336d6bf0ce6
473,9 Mai,9 Mai,str.,,Cetate,D4,Eminescu Mihai,10 Mai,9 Mai,10 Mai,82d4ae2b-a160-4037-9990-00c49085d9d8
1,Abrud,Abrud,str.,,Fabric,"E3, F3",Abrud,Abrud,,,48b86f97-4bd7-47c0-908b-564dbf583b42
1055,Aca De Barbu,Portiţei,intr.,HCJ 23/1993,Lipovei Viilor,E II,,,,,6a6c6f77-0e0f-40db-803d-9da842335213
829,Acad. Alexandru Borza,Trandafirilor,str.,HCJ 23/1993,Loga,"E4,E5,D5",Gheorghiu Ştefan,Carp Petru,,Carp Petru,76d9f6b6-a7f8-456d-b4eb-d8473441fb34
2150,Acad. Aurel Bărglăzan,Între Taborului Şi Semicerc,str.,HCL 169/2004,Bogdăneştilor,,,,,,f1994011-b9d5-4630-9eac-e4884bf1ff02
529,Acad. Corneliu Micloşi,Mirceşti,piaţă,HCJ 23/1993,Fabric,"E3, F3",Miron Românul,Miron Românul,Miron,Miron Românul,fa33aade-b536-4abd-86d0-6c282d61a12c
120,Acad. Dimitrie Gusti,Brăila (Din Bd.Take Ionescu),str.,HCJ 23/1993,Medicinei,E 3,Fonagy,Fonagy,,Fonagy,4824e20f-c949-4d48-af0f-e353fb0fba8b
86,Acad. Petre P. Negulescu,Băncii,str.,HCJ 23/1993,Viilor,"E1, F1",,,,,4fb9dc2b-a179-4950-bf8f-d671f6e5efb0
106,Acad. Remus Răduleţ,Boemia,str.,HCJ 23/1993,Aradului Est,D 1,,,Boemia,,89bb9934-bb5a-4019-abb4-597b3b8cb078
2008,Acad. Sextil Puşcariu,Fosta Popa Laurenţiu Nr.9 Şi 11,str.,HCJ 23/1993,Circumv. I,"C3, D3",Popa Laurenţiu,Pilatus,Pilatus,Pilatus,d0ea040e-deea-4694-b7c2-5fac1011f2f9
2,Actorilor,Actorilor,alee,,Dâmboviţa,"B8, B9",,,,,35467b61-ee1f-4ad5-9c52-3c6435e1f184
2272,Adam Anavi,Str. Nouă,str.,HCL 477/2009,Freidorf,,,,,,1b28bfff-18c5-46b9-9794-ae4ae00a6c35
509,Adam Mickiewics,Mickiewicz Adam,str.,,Ronaţ,"Z4, Z5",Mitchevici,Apollo,Apollo,Apollo,32316572-8caa-4ec1-865f-223110d704d1
365,Adam Muller Guttenbrum,Ostrovschi A. N.,str.,DEC 260/1990,Ronaţ,"Z4, Z5",,,,,d70004c5-1d24-455b-ac16-11b308afde47
931,Ady Endre,Noiembrie Şapte,str.,DECIZIA 260/90,Iosefin,C5,,,Bonnaz,Bonnaz,e2c1b08d-d7d5-4c34-bf59-ac4b2c539632
5,Agricultorilor,Agricultorilor,str.,,Ronaţ,"A3, A4",Agricultorilor,Agricultorilor,,,958392e3-c6d4-4007-b68a-3c7204601f16
6,Agronomiei,Agronomiei,str.,,Andreescu,"Z8, Z9",Agronomiei,,,,83649641-d514-4391-af1c-dd51b0273b0b
2069,Aida,Str. Nouă,str.,HCL151/2001,Mureş- Muzicescu,,,,,,248e8e4a-f225-4a2d-8cb7-80dc04d583a4
8,Alba Iulia,Alba Iulia,str.,,Cetate,D4,Alba Iulia,Alba Iulia,,,dafc4503-bb44-4856-a62c-674cfde44593
10,Albăstrelelor,Albăstrelelor,str.,,Plopi,"I4, I5",P. EDUARD,,,,441d535e-e1b6-4530-aa35-6fa240eaa198
11,Albinelor,Albinelor,str.,,I.I. De La Brad,"E1, E2, F1",Albinelor,Albinelor,,,1f35b3e4-a97b-48ae-b30a-ee527aa7b0c5
721,Alecu Russo,Russo Alecu,str.,,Blaşcovici,A4,Russo Alecu,Russo Alecu,Russo Alecu,Russo Alecu,a19d78dd-b048-4396-84c2-f61d9b71a3ea
2073,Alexandra Indrieş,Str. Nouă,str.,HCJ 5/2000,Lunei,"G4, G5",,,,,6dcf1596-10d9-450b-bf84-3b03e7e91a5a
271,Alexandru Donici,Donici Alexandru,str.,,Ronaţ,"Y3, Z3",Donici Alexandru,Donici Alexandru,,Donici Alexandru,de3a0f54-248d-488d-bd8d-f25cf8012ed3
350,Alexandru Golescu,Golescu Alexandru,str.,,Tipografilor,"E2, E3",Mars,Mars,,Mars,eef41d08-2156-4dc0-b800-6970d053db79
2010,Alexandru Ioan Cuza,Aradului(Mărăşti-Cons Europei),cale,HCJ 23/1993,Zona Antenelor,D 3,Aradului,Aradului,,,892f0d12-e7f7-4f55-be8a-2d2e71c7de42
2277,Alexandru Jebeleanu,Str. Nouă,str.,HCL 477/2009,Torontal După Aeroportul Utilitar,,,,,,3f86dc43-bc94-4f9e-b2d2-fc6ee589251d
424,Alexandru Lăpuşneanu,Lăpuşneanu Alexandru,str.,,Blaşcovici,"A3, A4",Lăpuşneanu Alexandru,Lăpuşneanu Alexandru,,Lăpuşneanu Alexandru,d515f1d9-748d-4b32-bbbf-d9b574535a70
467,Alexandru Macedonski,Macedonski Alexandru,str.,,"Rusu Şireanu,","C 7, C8",Macedonschi Alex.,Hold,Hold,Hold,8f6a5f4d-acaf-4d01-a987-fb62c5fd433d
2074,Alexandru Miletici,Str. Nouă,str.,HCJ 5/2000,Dorobanţilor,G2,,,,,573798bc-8ab3-4bf6-b395-7b4e556cf049
2015,Alexandru Mocioni,Furtună Ştefan,piaţă,HCJ 23/1993,Iosefin-Elisabetin,C6,MocsonyAlexandru,Mocsony Alaxandru,,Asăneşti,a4e10126-bb0b-4ae8-a839-edf481bfe548
563,Alexandru Nicolai Nekrasov,Nekrasov Nicolai Al.,str.,,Ronaţ,Z5,Necrasov,Menelau,Menelaus,Menelau,3ddc48d7-8001-4a5e-a42a-49bbbeded3d7
575,Alexandru Odobescu,Odobescu Alexandru,str.,,Odobescu-Elisabetin,"C6, C7,D7",Odobescu Alexandru,Odobescu Alexandru,Odobescu Alexandru,Odobescu Alexandru,26d17043-5826-4df0-a1dc-d6529d4b8087
2085,Alexandru Rogojan,Str. Nouă,str.,HCJ 5/2000,Urseni-Mureş,F10,,,,,a39cf0e8-9a0f-48b5-909d-fdf0254be6db
2209,Alexandru Şerbănescu,Str. Nouă,str.,HCL 53/2006,Aeroport,,,,,,e9166310-1f67-4e52-9e8f-27e2795bc558
984,Alexandru Vaida-Voievod,Trubadur,str.,HCJ 23/1993,Campus Univ.,"E5, F5",Trubadur,Trubadur,Trubadur,Trubadur,5faf96f3-8147-4286-8163-20fa9bf8173c
899,Alexandru Vlahuţă,Vlahuţă Alexandru,str.,,Iosefin,"A6, B6",Vlahuţa Alexandru,Vlahuţa Alexandru,Vlahuţa Alexandru,Vlahuţa Alexandru,20d7054c-84ed-4043-b2ef-9987e9b52c7d
927,Alexandru Xenopol,Xenopol Alexandru,str.,,Ronaţ,Z4,,,,,3a3b025f-39b4-464a-ba91-c0bb6aa25b04
2019,Alma Cornea Ionescu,Str. Nouă; Se Mută Între Nr. 50-52 Din Str. A. Bacalbaşa,intr.,HCL 151/2001; HCL 355/2008,Freidorf-Steaua,"A11, B11",,,,,20ce1c5d-f763-444e-ae61-09eaa7ff91d4
15,Alpiniştilor,Alpiniştilor,str.,,Modern- Filty,"H1, H2",Ardelean Gheorghe,Ardelean Gheorghe,,Ardelean Gheorghe,23a59451-afd1-4f6b-a432-a49f4c492e0d
16,Alsacia,Alsacia,str.,,Kogălniceanu,"F1, F2",Kalinin,Alsacia,,,1a9fd6ed-5acc-498c-b066-3b55768ae63f
17,Aluniş,Aluniş,str.,,Miloia- Girocului-Fratelia,"C10, D10, E1",Kalinin,,,,5de25734-d05c-43f5-9592-eb68c103b393
285,Alva Thomas Edison,Edison Thomas Alva,str.,,Lipovei,E I,Edison T Alva,Edison T Alva,,Edison T Alva,5b245565-1c53-4ccb-9dec-9c21bb24f792
20,Amforei,Amforei,str.,,Circumvalaţiunii Ii-Iv,"C2, C3",,,,,e9c64097-1d25-45d0-8392-28b8abcd6250
21,Amiciţiei,Amiciţiei,alee,,Aradului Est,D1,,,,,f8bfe913-601d-4e12-909b-f3c55bea45c3
22,Amurgului,Amurgului,str.,,Aradului Est,"C1, D1",Mormintelor,Mormintelor,,,3e56a5ea-e1d9-4d6e-bcf7-e903b25650d9
23,Amzei,Amzei,str.,,Balta Verde,A4,Amzei,Amzei,,Amzei,74aa0527-a119-4911-9b25-03f82815f8c0
401,Ana Ipătescu,Ipătescu Ana,str.,,Dâmboviţa,B9,Ipătescu Ana,,,,7612e7c2-05dc-4536-8ab5-ba0a49d5ff5c
2202,Ana Lugojana,Str. Nouă,str.,HCL 53/2006,Mureş-Muzicescu,,,,,,dc43deb9-9fcf-435e-919a-268158cbd7a6
932,Andrei Mocioni,Botnăraş Emil,str.,DEC. 260/1990,Fabric Tipogr.,"E3,E4",Martirii de la Ribniţa,Marghiloman,Marghiloman,Marghiloman,e34d519b-9e0e-4421-b649-9503ded4d202
548,Andrei Mureşeanu,Mureşeanu Andrei,str.,,Iosefin,C5,Mureşanu Andrei,Mureşanu Andrei,Mureşanu Andrei,Mureşanu Andrei,7b64c597-2630-4aa0-95b2-ddabf6f0692e
789,Andrei Şaguna,Şaguna Andrei,str.,,"Timocului,Tigrului",G3,Vitorian Belinschi,Şaguna Andrei,Şaguna Andrei,Şaguna Andrei,92792b4d-f9a4-4041-80ff-ca116705087e
2250,Anemonelor,Str. Nouă,str.,HCL 354/2008,Buziaşului,,,,,,17aa3585-df65-4a01-bc24-4e6f99f61795
727,Anghel Saligny,Saligny Anghel,str.,,Stadion,"E6, F6",Saligni Anghel,Sarcul,,Sarcul,8a75ffaf-b7f3-4b46-9347-5fc1d90c4fa0
25,Anina,Anina,str.,,Venus,"G9, G10",Anina,,,,2bcb9224-d3a3-457e-aeef-b8bd01ab6d5f
2061,Anişoara Odeanu,Str Nouă,str.,HCL 150/2001,Lidia-Mureş-Muzicescu,G10,,,,,f8e11318-cf40-491f-a906-d7903e56f0f8
2294,Ans,"Fost Tronson Liege, Între C.Aradului Şi Str.Carei",str.,HCL143/2012,Calea Aradului-Liege,,,,,,f2e49dcb-32f7-4409-a2af-e39afc096ba7
1246,Antenei,Antenei,bv,,Calea Lipovei,,,,,,ee6c1aa8-2b94-4d4b-93e4-7bcd0fe188cd
64,Anton Bacalbaşa,Bacalbaşa Anton,str.,,Freidorf-Andreescu,"Z9, Z10, Y10",,,,,94cb9dde-af15-4275-8ceb-75df550beae2
2151,Anton Golopenţia,Str. Nouă,str.,HCL 93/2004,Ureni-Legumiculturii,,,,,,fd2412ab-2286-428e-b399-134795135af9
603,Anton Pann,Pann Anton,str.,,Fabric,"F3, F4",Pann Anton,Pann Anton,Pann Anton,Pann Anton,f45a3b86-5b2e-44b1-bb64-4ace0d76184f
165,Anton Pavlovici Cehov,Cehov Anton Pavlovici,str.,,"C.Martrilor, Fratelia","D10, E10",Cehov Pavlovici Anton,,,,0ec75d6b-8b10-4d0c-af44-0ba025882d80
739,Anton Seiller,Seiller Anton,str.,,Gară,"C5, C6",Seiler Anton,Seiler Anton,Seiler Anton,Seiler Anton,04c611d5-2bba-40ce-9368-b4e004ad056e
26,Anul 1848,Anul 1848,str.,,"Fratelia, C.Martirilor","D9, D10",Anul 1848,,,,7e100e3c-de5e-48f9-a5b6-163f62decce1
28,Anvers,Anvers,str.,,Ronaţ,"Z3, Z4, Y4",Anvers,Anvers,,Anvers,00e7f2b1-404a-40c2-8620-b96e39814443
29,Apateu,Apateu,str.,,Lunei,G5,Apateu,Apateu,,Apateu,5a0c60a9-c49c-4470-abc3-4327228c0d7b
30,Apelor,Apelor,str.,,C.Martirilor,"D8, E8",,,,,608fdf1b-7a5a-47fe-a6df-3c1890ffa03c
1223,Apicultorilor,Apicultorilor,str.,,C.Martirilor,E 10,,,,,10666f05-58c8-491f-9d92-813b0dab7081
34,Aprodul Movilă,Movilă Aprodul,str.,,Blaşcovici,"B IV, C F39IV",Movilă Aprodul,,,,efd7b39c-3d1e-432d-bc74-2414fa43eaf3
35,Aradului,Aradului,cale,,"Aradului Vest, Aradului Est","D1, C1, C2,",,,,,dfb71cc6-9e80-4eca-8def-9bb246cb5666
36,Arcaşilor,Arcaşilor,alee,,Lipovei,"D1, E1",,,,,097087ff-2953-4ac8-a779-6aca4f46d036
37,Arcidava,Arcidava,str.,,Miloia- Girocului-Fratelia,D9,Arcidava,,,,74db2769-2bd5-42de-8696-aac0eac1c7ae
1238,Arcului,Arcului,str.,,Timocului,,,,,,c3efc19f-7a10-4252-93a5-285e3facd501
38,Ardealului,Ardealului,str.,,Andreescu-Slavici,"Y8, Y9, Z7,9",Str.Victoriei,,,,56397ed3-fb17-4f9a-9989-f4bafc78ce8c
39,Arenei,Arenei,intr.,,Spital,"F7, F8",,,,,2425e3e5-be95-4653-b017-950ca798555b
40,Argeş,Argeş,str.,,Piaţa Crucii,E6,Argeş,Argeş,,Argeş,031abd60-f1aa-4684-a85c-473b5cbf68c7
2296,Arhimandrit Teofil Părăian,Gen. Gheorghe Stavrescu,str.,HCL 143/2012,Calea Martirilor,,,,,,d365ffc6-681c-4886-8bad-f385407b9d3b
2053,Arh. Cornel Liuba,Str. Nouă,intr.,HCL 200/2002,Ciarda Roşie,,,,,,f2f4e717-4ed2-4e22-b688-c207731a0bbe
986,Arh. Duiliu Marcu,Str. Nouă,str.,HCJ 23/1993,Steaua,B10,,,,,f5deef5b-97a6-4bb6-8f4c-7ba5c8e11aef
522,Arh. Ioan Mincu,Mincu Ioan Arh.,str.,,Lipovei Viilor,"E1, E I",Mincu Ioan Arh.,,,,32c052ba-7983-4942-a6b7-16c4f293b894
985,Arh. Laszlo Szekely,Zoe,str.,HCJ 23/1993,Elisabetin,D6,Zoe,Zoe,Zoe,Zoe,55e436e5-80d0-4f48-8a38-2f2d9d469d9f
987,Arh. Victor Vlad,Str. Nouă,str.,HCJ 23/1993,Steaua,B10,,,,,9841c0a1-1634-4446-9b16-39b1888aaed5
41,Ariadna,Ariadna,str.,,Miloia,"C8, C9",Ariadna,Ariadna,,Ariadna,dc4198d0-179f-4577-bf5e-ac6a6fe1abf1
42,Arieş,Arieş,str.,,"Piţa Crucii, Stadion",E6,Arieş,Arieş,,Arieş,bc5eb4a2-91ac-4a2a-98a8-8a00aa83a415
2171,Arinului,Str Nouă,str.,HCL 195/2005,Urseni-Legumiculturii,"G8, G9",str nouă,,,,608a6595-6950-4dab-8ea8-eae9a377efe2
2101,Aristide Briand,Str Nouă,str.,HCL 68/2003,Mureş-Muzicescu,,,,,,546bfa67-49d5-4d50-9791-737f24f89f67
254,Aristide Demetriade,Demetriade Aristide,str.,,"Antene, Viilor, I.I.Brad","D2,D3,E2,F",Demetriade Aristide,Demetriade Aristide,,Demetriade Aristide,25677e7c-c72b-4786-9c4a-f29a372bb056
43,Armoniei,Armoniei,str.,,Aradului Est,"C11, D11, E11",Armoniei,Ruschil,Contemporană,,a77b5ffc-5a88-4e46-9e6a-72a02f275cad
882,Aron Cotruş,Vidraru,piaţă,HCJ 23/1993,C.Martirilor,D8,,,,,07ea04a9-5f52-487b-9e12-850f594b67fd
676,Aron Pumnul,Pumnul Aron,str.,,Piaţa Crucii,D7,Pumnul Aron,Pumnul Aron,Pumnul Aron,Pumnul Aron,edb1a077-8f61-4c00-b18c-9f2629e54511
2295,Arsenie Boca,Irene Mokka,str.,HCL 143/2012,"Rudolf-Walter, Bistrei, Ciarda Roşie",,,,,,39dbc5f6-cc8d-4322-9cbd-bbb5ab256584
2055,Arthur Rubinstein,Str. Nouă,str.,HCL 200/2002,Torontal,"D1,D2",,,,,bc908d03-ea8c-484a-8367-a4f8fc6a0b37
47,Aştrilor,Aştrilor,str.,,Soarelui,"F7, F8",,,,,710a5583-4221-468a-9c3f-9734f5d38a3a
2020,Atanasie Demian,Str. Nouă,str.,HCL 200/2002,Torontal,D2,,,,,c3485eae-9c98-4c6f-9fcc-26e0cc27c0ef
2298,Atanasie Marian Marienescu,"Fost Tronson Str. Recoltei, Paralel Cu Matei Millo",str.,HCL 143/2012,Calea Buziaşului-Recoltei,,,,,,9f9eddf6-d799-483d-bf1b-864f270d1897
48,Atena,Atena,piaţă,,Viilor,E1,Atena,Atena,,Atena,4a0b3ebf-f743-454d-9740-a83a7a8f947e
49,Atomului,Prelung.Str.Atomului,str.,HCL 200/2002,Venus,"I9, I10",,,,,0966a6e1-a49c-43c4-91ac-ddf519f68c4f
49,Atomului,Atomului,str.,,Venus,G8,,,,,cc570982-e84e-4150-894c-d9e0c6ea21bb
2057,Augustin Coman,Str. Nouă,str.,HCL 57/2002,Torontal,D1,,,,,27264ac3-ddb8-48d0-827b-4763baf09fe9
2271,Aurel Buteanu,Str. Nouă,str.,HCL 185/2009,Andreescu,,,,,,614d40bf-144b-4423-a6ca-60c9c2284a9e
2018,Aurel Ciupe,(Perpend. Pe Holdelor),alee,HCJ 5/2000,Viilor-I.I. De La Brad,E1,,,,,a9eba390-c036-4f65-9b8b-2276bd6b47f6
2315,Aurel Contrea,Stradă Nouă,str.,HCL 53/2013,Torontalului-Rubinstein-Aurel Pop,,,,,,50fa2c55-c66b-4dfa-b639-172caeacab06
664,Aurel Cosma,Postăvarul,str.,HCJ 23/1993,Piaţa 700,"C4,C5,D5",Toma,Toma,,Toma,615a6fcd-d2e7-44a1-8eaa-d8a059b3d762
2140,Aurel Peteanu,În Cont. Str. Repin,str.,HCL 169/2004,Plopi,,,,,,61ac3da7-b054-42c9-9b0c-b62a9f1fa9c1
2056,Aurel Pop,Str.Nouă,str.,HCL 200/2002,Torontal,"D1, D2",,,,,a2fd9c8e-f5f6-42f7-99c0-271b98c1348d
659,Aurel Popovici,Popovici Aurel,str.,,Tipografilor,E3,Popovici Aurel,Popovici Aurel,Popovici Aurel,Popovici Aurel,494093d8-4beb-4dd5-b6f7-fa43a73f0526
2034,Intr. Aurel Turcuş,Gheorghe Ranetti,intr.,HCL 53/2013,Gavril Musicescu-Gh.Ranetti,,,,,,f3975afa-aab7-4609-a924-5f38120d1808
2191,Aurel Vernichescu,Str. Nouă,str.,HCL 498/2006,Plopi Sud,,,,,,3372c306-7026-4365-8243-3f1671b012cd
900,Aurel Vlaicu,Vlaicu Aurel,piaţă,,Fabric,F4,Vlaicu Aurel,Vlaicu Aurel,Vlaicu Aurel,Vlaicu Aurel,f672cf1a-a277-4e72-b0e5-9007fb596a3c
2147,Aurelia Fătu Răduţu,Str. Nouă,str.,HCJ 5/2000,Câmpului,H4,,,,,4b2dcff9-e4dd-438f-bc1b-83363eca7737
50,Aurelianus,Aurelianus,str.,,Campus Universitar,E5,Aurelianus,Aurelianus,,Aurelianus,8baf8c18-194d-4a20-9d1f-b7a20a89b154
51,Aurora,Aurora,str.,,Aradului Est,"D II, D III",Aurora,Aurora,,Aurora,5cdc4cfe-459a-4b58-bdde-ec200a6b866a
52,Aviatorilor,Aviatorilor,str.,,Kuncz,"G5, G6",Aviatorilor,Verde,,Verde,3896b131-06e8-4020-9a47-cdd16e69921f
54,Avram Iancu,Avram Iancu,piaţă,,Mehala I,B2,Avram Iancu,Avram Iancu,,Avram Iancu,c5b8c6de-b666-4ead-bb6e-bc879ac627d3
172,Avram Imbroane,Aleea Cfr,str.,HCL 106/2001,Gara De Est,"G3, H2, I 2, I1",Aleea CFR,Octavian Goga,,Imbroane Sofia,ede5c302-6261-48ee-a780-dde6898666d6
