uuid,set,set_ro,name,name_ro,published
5561af30-f31d-48a8-a26f-22cbe9848bfb,Commercial,Comerț / Servicii,Mortuary/Funeral Home,Casă funerară / Magazin pompe funebre,true
cb4afd04-b14a-4918-b2e8-2f1d4ce5212c,Commercial,Comerț / Servicii,Corridor,,false
f59c72f4-670c-4f27-ab48-304d70709e2a,Commercial,Comerț / Servicii,Neighborhood/Village Commercial Center,,false
162cd4d8-3722-4a6c-a285-67360d6e5109,Commercial,Comerț / Servicii,Node,,false
b9598916-7831-4d0c-a615-8d04b3e8668a,Commercial,Comerț / Servicii,Other,,false
c4dc3272-e801-4a67-bfbe-364da430dbe8,Commercial,Comerț / Servicii,Shopping Center,,false
2f1c22ba-f6ca-4972-aff9-9c502e72cb44,Commercial,Comerț / Servicii,Shopping Mall,,false
f1133309-2c8e-42d6-8ede-5abd3959949c,Commercial,Comerț / Servicii,Auto Body/Repair,Servicii auto /  Vulcanizare,true
1bd0cad6-ca86-4b9f-87a5-0b65fdc57038,Commercial,Comerț / Servicii,Car Sales/Auto Showroom,,false
2675fcfd-50a3-42d2-84bd-e769eb908ab2,Commercial,Comerț / Servicii,Carwash,Spălătorie auto,true
1fd71664-e613-456c-ba63-c38fac60af51,Commercial,Comerț / Servicii,Custom Car Builder,,false
7da31ced-dde5-4c90-a1d9-10858e8c1b41,Commercial,Comerț / Servicii,Gas/Service Station,Benzinărie,true
b318e9fa-95b0-454b-bd25-c82a91130d4c,Commercial,Comerț / Servicii,Other,,false
ba4f03ca-b152-4a15-ac61-561c319e1028,Commercial,Comerț / Servicii,Parking Structure,,false
1c13629d-4dbc-4d9c-9d9b-f6fabf943a05,Commercial,Comerț / Servicii,Service Station with Carwash,,false
3149a2d0-80ce-408f-8046-164a1343be0f,Commercial,Comerț / Servicii,Music club/night club,Club de noapte,true
b3ea7196-d245-4710-9c3c-a7fc530d95ca,Commercial,Comerț / Servicii,Other,,false
248d315f-7cb7-4d51-a84c-812d05b527af,Commercial,Comerț / Servicii,"Theater, Motion Picture",Cinematograf,true
c0790ea2-129d-4243-9b5b-35dfceab2b4a,Commercial,Comerț / Servicii,"Theater, Performance",Teatru / Sală de spectacole,true
2974ed7d-6de2-498a-8250-2241b1f0ed86,Commercial,Comerț / Servicii,Casino,Sală de jocuri de noroc,true
9c571709-8572-44a6-a918-f409697a2622,Commercial,Comerț / Servicii,Bowling Alley,,false
f3610dcf-75e1-46e5-9236-6ab083324910,Commercial,Comerț / Servicii,Miniature Golf,,false
1332f473-f1fd-40ef-9742-b42ebff59558,Commercial,Comerț / Servicii,Skating Rink,,false
0719a2cb-ed92-4606-ae02-cc78858781ba,Commercial,Comerț / Servicii,Bank/Savings &amp,Bancă / Centru asigurări,true
7d05d3cf-637f-4ed5-9d65-118809f582e7,Commercial,Comerț / Servicii,"Insurance, Stocks, etc.",,false
7dfd7f8d-d821-4861-9003-d1c938464349,Commercial,Comerț / Servicii,Other,,false
74277dfb-7ad5-4173-952d-eafa1a445fc5,Commercial,Comerț / Servicii,Drive-in,,false
2b62a086-aa7e-42be-8592-f67e034ded38,Commercial,Comerț / Servicii,Walk-up Stand,,false
336df2a5-9b26-48c6-ac69-95eb6f3939ba,Commercial,Comerț / Servicii,Bar/Lounge,Bar / Lounge / Cafenea,true
15a1acd7-c7a9-4dc0-8636-bc32b34f684b,Commercial,Comerț / Servicii,Sweetshop,Cofetărie,true
063905fe-0472-49c8-bb1a-2f91d448f78c,Commercial,Comerț / Servicii,Fast Food (drive-thru and/or walk-in),,false
432a0c31-a344-47c8-a8b0-82286d65442b,Commercial,Comerț / Servicii,Other,Descriere,true
2a8d1ac1-931e-4f00-9483-49f68d919736,Commercial,Comerț / Servicii,Restaurant,"Alimentație publică (restaurant, autoservire, fast-food etc.)",true
5b949653-4620-4bac-9109-4fac1a9a5a51,Commercial,Comerț / Servicii,Apartment Hotel,,false
3f180eba-418b-4e76-b739-02c8247073a4,Commercial,Comerț / Servicii,Boarding House,Pensiune / Hostel,true
93abe961-42ce-4f74-95a7-7129c87df2d5,Commercial,Comerț / Servicii,Hotel,Hotel,true
12483a01-aaa0-4744-8635-7b54310c87d2,Commercial,Comerț / Servicii,Motel,Han,true
2f836373-3f30-4763-bd58-117912b56b16,Commercial,Comerț / Servicii,Other,,false
8758a48e-745d-4748-a5e1-b7592ceabc46,Commercial,Comerț / Servicii,Mixed Use - Commercial/Office/Residential,Funcțiune mixtă,false
6b83c019-f807-43f7-8764-9a292d886b58,Commercial,Comerț / Servicii,High Rise,,false
