uuid,component_type,component_type_ro,name,name_ro,published
02cdbda8-6631-4f44-8e12-fce55dea3a65,building,corp clădire,Addition to primary elevation,Adiție (la corpul principal),true
0a943aec-b8ff-42b9-a121-fc8e1b833a6b,building,corp clădire,Addition to rear/side elevation,Adiție (la corpul secundar),true
33d16e3d-8de9-44d5-9401-af05715a4184,building,corp clădire,Addition to upper story,Etaj adăugat,true
cd8823b3-882d-45aa-8025-b761406240fe,building,corp clădire,Exterior staircases added,Scări adăugate,true
c8a55175-f007-4f8b-a659-358e1ae8e602,building,corp clădire,Seismic anchor plates added,Tiranți structurali,true
0bc00be6-c8ee-4026-b08f-b6b80e175291,building,corp clădire,Perimeter fence or wall added,Gard modificat / înlocuit ,true
5976a895-07e0-4f80-b544-dbf42c8e7857,building,corp clădire,Landscape/hardscape altered,Spațiu verde privat amenajat,true
2656af53-d8bc-4758-b16d-5abc2f04c480,building,corp clădire,Single-family converted to multi-family,Locuință unufamilială transformată în locuință multifamilială ,true
46544a9c-77b6-4aa9-99f8-41858bfb8a0b,building,corp clădire,Appears to be unaltered,Aparent nemodificată,true
72d53d18-41ca-4108-94df-96424f885cfb,building,corp clădire,Completely altered,Complet modificată,true
fb46a9e3-a84f-405e-9dc4-b645212350ca,building,corp clădire,Other,Altele,true
d5e7aaa4-24d6-4e14-8443-0d055ded40b6,access,aparat de access,Brickwork/stone painted,Cărămida / piatra aparentă vopsită / zugrăvită,true
e14f9213-6f9c-4454-82be-d93d889182c0,access,aparat de access,Carport added,,false
46567a26-c495-4fda-b0e2-839e3f9bc183,access,aparat de access,Carport altered or enclosed,,false
60a74bc1-0ce0-476e-8821-61325b80ae2a,access,aparat de access,Carport removed,,false
c53ad2f5-bd7d-402f-bbba-c92e879d7ff5,access,aparat de access,Decorative elements added,Elemente decorative adaugate,true
40666a64-427c-4685-9166-fd6959e05b37,access,aparat de access,Decorative elements removed,Elemente decorative îndepărtate,true
e186e783-6552-400e-a1d9-851a8e94e62c,access,aparat de access,Door (primary) opening or entrance altered,Acces (principal) modificat,true
6025c12b-d2cd-457e-86b0-ebb2a96a4e1b,access,aparat de access,Door (primary) replaced,Acces (principal) înlocuit,true
634125da-2163-4968-8874-7a904e1d3a09,access,aparat de access,Door/entrance added,Acces adăugat,true
dd027247-6ae2-4a4e-86a5-d8d55e45898d,access,aparat de access,Garage altered or replaced,,false
9a8b1f44-c443-4401-8bf9-4e19c6241e4d,access,aparat de access,Garage door replaced,,false
2ad6eed4-3bf3-4c6c-8255-84092c4a435f,access,aparat de access,Garage postdates residence,,false
ddca78cc-965f-4a4f-8986-d0033f446501,access,aparat de access,No major alterations,,false
cb6496b7-4d0b-406f-a7aa-635d95834c9c,access,aparat de access,Parapet altered or removed,Parapet modificat / îndepărtat ,true
ebba3e68-c3a4-4b24-b1b5-b770e5c3a302,access,aparat de access,Porch added,Portic adăugat,true
b9a9c14a-4f4c-4f0d-b680-52159ddf7d43,access,aparat de access,Porch altered or enclosed,Portic modificat / închis,true
c3549bc1-339f-47a8-8b4c-84d9d649bfdd,access,aparat de access,Porch rails altered or replaced,Balustradă modificată / îndepărtată,true
a02243ee-be10-4641-9cfd-933784444e7c,access,aparat de access,Porch removed,Portic îndepărtat ,true
b87ce5c7-0466-41f3-9148-a1cc278975ab,access,aparat de access,Porte cochere added,Porte-cochère adăugat,true
1266e3c0-4acf-4751-9961-90b90724c10c,access,aparat de access,Porte cochere altered or removed,Porte-cochère modificat / îndepartat ,true
